last_name,first_name,birthday,gender,type,state,district,party
Blunt,Roy,1950-01-10,M,sen,MO,,Republican
Curtis,John,1960-05-10,M,rep,UT,3,Republican
Cárdenas,Tony,1963-03-31,M,rep,CA,29,Democrat
Garcia,Mike,1976-04-24,M,rep,CA,25,Republican
Guthrie,Brett,1964-02-18,M,rep,KY,2,Republican
Lesko,Debbie,1958-11-14,F,rep,AZ,8,Republican
Norton,Eleanor,1937-06-13,F,rep,DC,0,Democrat
Peterson,Collin,1944-06-29,M,rep,MN,7,Democrat
Pingree,Chellie,1955-04-02,F,rep,ME,1,Democrat
Porter,Katie,1974-01-03,F,rep,CA,45,Democrat
Sanders,Bernard,1941-09-08,M,sen,VT,,Independent
