ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12010868,JD187883,03/16/2020 05:58:00 PM,011XX N HUMBOLDT DR,2024,NARCOTICS,POSSESS - HEROIN (WHITE),SIDEWALK,true,false,1211,012,26,24,18,1156037,1907530,2020,03/23/2020 03:49:30 PM,41.902053462,-87.702296572,"(41.902053462, -87.702296572)"
11969952,JD137795,02/02/2020 08:41:00 PM,083XX S ASHLAND AVE,0560,ASSAULT,SIMPLE,CTA BUS,false,false,0614,006,21,71,08A,1167122,1849514,2020,02/09/2020 03:49:31 PM,41.742620493,-87.663241882,"(41.742620493, -87.663241882)"
12014690,JD185190,03/14/2020 07:48:00 AM,060XX S MAY ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE,false,true,0712,007,16,68,07,1169685,1864754,2020,03/25/2020 03:45:43 PM,41.784385856,-87.653409624,"(41.784385856, -87.653409624)"
11996359,JD170333,03/01/2020 11:00:00 AM,032XX N DAMEN AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1921,019,32,5,06,1162445,1921417,2020,03/08/2020 03:47:30 PM,41.940028557,-87.678369504,"(41.940028557, -87.678369504)"
12005404,JD181354,03/10/2020 08:35:00 PM,070XX S ASHLAND AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0734,007,17,67,08B,1166897,1858017,2020,03/17/2020 03:49:59 PM,41.765958707,-87.66382384,"(41.765958707, -87.66382384)"
12023258,JD201451,04/03/2020 08:05:00 PM,024XX N CENTRAL AVE,0460,BATTERY,SIMPLE,NURSING / RETIREMENT HOME,false,false,2515,025,30,19,08B,1138633,1915735,2020,04/10/2020 03:47:54 PM,41.924902436,-87.766025313,"(41.924902436, -87.766025313)"
11963469,JD130244,01/18/2020 11:54:00 AM,007XX W WILLOW ST,1581,SEX OFFENSE,NON-CONSENSUAL DISSEMINATION PRIVATE SEXUAL IMAGES,"SCHOOL, PUBLIC, GROUNDS",false,false,1813,018,43,7,17,1171259,1911950,2020,03/07/2020 03:45:21 PM,41.913861315,-87.646254251,"(41.913861315, -87.646254251)"
12033397,JD212769,04/20/2020 02:55:00 AM,003XX N LATROBE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,1523,015,37,25,08B,1141321,1901588,2020,04/27/2020 03:50:19 PM,41.886032227,-87.756497813,"(41.886032227, -87.756497813)"
12117234,JD310759,07/26/2020 03:00:00 PM,017XX W FULLERTON AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,true,false,1931,019,32,7,06,1164222,1915991,2020,08/02/2020 03:49:03 PM,41.92510186,-87.671992307,"(41.92510186, -87.671992307)"
11986280,JD157782,02/19/2020 05:00:00 PM,015XX S CENTRAL PARK AVE,0320,ROBBERY,STRONG ARM - NO WEAPON,CTA BUS,false,false,1021,010,24,29,03,1152621,1892306,2020,03/18/2020 03:52:17 PM,41.860345472,-87.715246819,"(41.860345472, -87.715246819)"
