activity_nr,citation_id,pen_fta,hist_event,hist_date,hist_penalty,hist_abate_date,hist_vtype,hist_insp_nr,load_dt
"101351187","01006","F","Z","1988-03-17","3000.00","","","101329126","2011-10-14 16:48:14 EDT"
"101351187","01003","F","Z","1988-03-17","3000.00","","","101329126","2011-10-14 16:48:14 EDT"
"101351187","01002","P","I","1987-12-28","120.00","1988-01-22","S","","2011-10-14 16:48:14 EDT"
"101351187","01002","P","Z","1987-12-16","200.00","1988-01-22","S","","2011-10-14 16:48:14 EDT"
"101351187","01001","P","I","1987-12-28","90.00","1988-01-02","S","","2011-10-14 16:48:14 EDT"
"101351187","01001","P","Z","1987-12-16","150.00","1988-01-02","S","","2011-10-14 16:48:14 EDT"
"101351187","01005","P","I","1987-12-28","150.00","1988-01-22","S","","2011-10-14 16:48:14 EDT"
"101351187","01005","P","Z","1987-12-16","250.00","1988-01-22","S","","2011-10-14 16:48:14 EDT"
"101351187","01005","F","F","1988-10-24","1200.00","","","101329126","2011-10-14 16:48:14 EDT"
"101351187","01005","F","Z","1988-03-17","3000.00","","","101329126","2011-10-14 16:48:14 EDT"
"101351187","01004","P","I","1987-12-28","180.00","1988-02-22","S","","2011-10-14 16:48:14 EDT"
"101351187","01004","P","Z","1987-12-16","300.00","1988-01-22","S","","2011-10-14 16:48:14 EDT"
"101351187","01003","P","I","1987-12-28","180.00","1988-01-22","S","","2011-10-14 16:48:14 EDT"
"101351187","01009","P","I","1987-12-28","150.00","1988-01-22","S","","2011-10-14 16:48:14 EDT"
"101351187","01009","P","Z","1987-12-16","250.00","1988-01-22","S","","2011-10-14 16:48:14 EDT"
"101351187","01008","P","I","1987-12-28","150.00","1988-01-22","S","","2011-10-14 16:48:14 EDT"
"101351187","01008","P","Z","1987-12-16","250.00","1988-01-22","S","","2011-10-14 16:48:14 EDT"
"101351187","01007","P","I","1987-12-28","210.00","1988-01-22","S","","2011-10-14 16:48:14 EDT"
"101351187","01007","P","Z","1987-12-16","350.00","1988-01-22","S","","2011-10-14 16:48:14 EDT"
"101351187","01006","P","I","1987-12-28","180.00","1988-01-22","S","","2011-10-14 16:48:14 EDT"
"101351187","01006","P","Z","1987-12-16","300.00","1988-01-22","S","","2011-10-14 16:48:14 EDT"
"101351187","01006","F","F","1988-10-24","1200.00","","","101329126","2011-10-14 16:48:14 EDT"
"101351187","01003","F","F","1988-10-24","1200.00","","","101329126","2011-10-14 16:48:14 EDT"
"101351195","01003","P","Z","1988-08-25","420.00","1988-08-28","S","","2011-10-14 16:48:14 EDT"
"101351195","01003","P","I","1988-09-09","300.00","1988-08-28","S","","2011-10-14 16:48:14 EDT"
"101351195","01001","P","Z","1988-08-25","420.00","1988-08-28","S","","2011-10-14 16:48:14 EDT"
"101351195","01001","P","I","1988-09-09","300.00","1988-08-28","S","","2011-10-14 16:48:14 EDT"
"101351195","01002","P","Z","1988-08-25","280.00","1988-08-28","S","","2011-10-14 16:48:14 EDT"
"101351195","01002","P","I","1988-09-09","180.00","1988-08-28","S","","2011-10-14 16:48:14 EDT"
